time,channel,Amplitude,subject
-200,Fp1,0.5754514557689,1
-196,Fp1,0.0528225994761128,1
-192,Fp1,1.75802014965164,1
-188,Fp1,2.84851728755016,1
-184,Fp1,2.03618731433005,1
-180,Fp1,-1.22013714511058,1
-176,Fp1,-0.919673204411577,1
-172,Fp1,0.815533775648605,1
-168,Fp1,0.373811234026377,1
-164,Fp1,2.28755881051201,1
-160,Fp1,0.768843933822089,1
-156,Fp1,0.456412680472177,1
-152,Fp1,-2.26131391297146,1
-148,Fp1,-3.49842780741152,1
-144,Fp1,-0.226316567779747,1
-140,Fp1,-0.41725533308551,1
-136,Fp1,-1.38190305964626,1
-132,Fp1,-0.89654318193155,1
-128,Fp1,0.595523190431153,1
-124,Fp1,-1.51273908456697,1
-120,Fp1,0.263463455165862,1
-116,Fp1,-0.165746569898861,1
-112,Fp1,0.851767262238768,1
-108,Fp1,-0.043146285773504,1
-104,Fp1,-2.36017936308988,1
-100,Fp1,1.44626705714506,1
-96,Fp1,-0.964998384601095,1
-92,Fp1,1.59654303284967,1
-88,Fp1,-2.85869318307067,1
-84,Fp1,1.57595994020654,1
-80,Fp1,0.643905127049237,1
-76,Fp1,0.413889247675778,1
-72,Fp1,2.83350926531891,1
-68,Fp1,1.61454511708519,1
-64,Fp1,-0.252583282186414,1
-60,Fp1,3.18724267209663,1
-56,Fp1,1.03790479540636,1
-52,Fp1,-0.355664718142613,1
-48,Fp1,-0.289650661426274,1
-44,Fp1,1.3100369773935,1
-40,Fp1,3.93273518955007,1
-36,Fp1,-0.855001748575565,1
-32,Fp1,-0.134998416510396,1
-28,Fp1,-0.777952810663775,1
-24,Fp1,-0.563504642535537,1
-20,Fp1,0.211095938595564,1
-16,Fp1,0.0488899387108249,1
-12,Fp1,-1.69141816969752,1
-8,Fp1,1.59333612603416,1
-4,Fp1,0.62297364939589,1
0,Fp1,1.00325811176258,1
4,Fp1,-0.0806723230364316,1
8,Fp1,-1.70540058503369,1
12,Fp1,1.08181841681405,1
16,Fp1,-0.332666629755549,1
20,Fp1,2.19777494018233,1
24,Fp1,-0.364519814937181,1
28,Fp1,-0.891400334051411,1
32,Fp1,-0.119265576253136,1
36,Fp1,0.616403514501223,1
40,Fp1,-1.63711633063971,1
44,Fp1,-0.409301198753466,1
48,Fp1,-1.41066645060476,1
52,Fp1,0.91500889928462,1
56,Fp1,0.397687297722229,1
60,Fp1,2.62165893910795,1
64,Fp1,-2.78977595404058,1
68,Fp1,0.18928224976424,1
72,Fp1,-1.65951613912743,1
76,Fp1,0.78410405916696,1
80,Fp1,1.17342560220457,1
84,Fp1,0.85314569055679,1
88,Fp1,4.38541178934994,1
92,Fp1,-2.61928993403596,1
96,Fp1,-0.751296426601422,1
100,Fp1,0.69731164147018,1
104,Fp1,-0.0119573623871778,1
108,Fp1,0.241858895434978,1
112,Fp1,-0.493445289032476,1
116,Fp1,-1.76835545468292,1
120,Fp1,-1.33437566354818,1
124,Fp1,0.189327936231679,1
128,Fp1,1.11301166882475,1
132,Fp1,1.35820360193385,1
136,Fp1,2.66996877814017,1
140,Fp1,-0.436714282194198,1
144,Fp1,0.410513948904754,1
148,Fp1,2.05064305597944,1
152,Fp1,-0.557409328750535,1
156,Fp1,0.139387551816715,1
160,Fp1,1.63329147437819,1
164,Fp1,-0.586639760611754,1
168,Fp1,-2.5756496740241,1
172,Fp1,-2.62210469860724,1
176,Fp1,0.378647591918684,1
180,Fp1,-0.432549467822509,1
184,Fp1,-1.48350110922368,1
188,Fp1,-0.141740302997913,1
192,Fp1,-0.766320065503515,1
196,Fp1,0.892142187702886,1
200,Fp1,-4.0016673523909,1
204,Fp1,0.270525217609266,1
208,Fp1,0.678976832851333,1
212,Fp1,0.271772267017786,1
216,Fp1,1.91026410120368,1
220,Fp1,0.243499393587675,1
224,Fp1,1.18176342727132,1
228,Fp1,1.19881243504976,1
232,Fp1,0.0585103276869442,1
236,Fp1,1.06157209779066,1
240,Fp1,2.21250764803134,1
244,Fp1,-1.10592945344726,1
248,Fp1,-3.16901818963387,1
252,Fp1,-3.33007272332484,1
256,Fp1,-0.750966582500304,1
260,Fp1,-0.682373917014746,1
264,Fp1,-0.508427090101217,1
268,Fp1,-2.21092892965587,1
272,Fp1,0.684642777583361,1
276,Fp1,-1.35831279249495,1
280,Fp1,0.707101033979523,1
284,Fp1,-0.176699879216826,1
288,Fp1,1.39732124083799,1
292,Fp1,0.749299552742406,1
296,Fp1,0.489437300143295,1
300,Fp1,0.473955820609763,1
304,Fp1,0.191404122178972,1
308,Fp1,-1.28964238558758,1
312,Fp1,-1.29925241788446,1
316,Fp1,0.750488128020129,1
320,Fp1,-0.921228625486082,1
324,Fp1,-2.18765474934497,1
328,Fp1,0.517703744414764,1
332,Fp1,1.1986547262546,1
336,Fp1,2.1504023600986,1
340,Fp1,-2.41043639361154,1
344,Fp1,0.553462668907704,1
348,Fp1,-0.340930908902922,1
352,Fp1,-0.737869434260503,1
356,Fp1,-1.40331172167442,1
360,Fp1,0.608867828295877,1
364,Fp1,-0.0746964116705267,1
368,Fp1,-3.35508518023709,1
372,Fp1,1.75426074855504,1
376,Fp1,0.828280260424088,1
380,Fp1,-1.72505444195853,1
384,Fp1,0.220145545897651,1
388,Fp1,0.151198656528147,1
392,Fp1,-0.577354575616682,1
396,Fp1,1.54850986211554,1
400,Fp1,0.394234913260988,1
404,Fp1,1.64214122908581,1
408,Fp1,-0.00355542654248783,1
412,Fp1,-0.461965430561295,1
416,Fp1,1.02595551113978,1
420,Fp1,-1.8901419850227,1
424,Fp1,-0.289182058467711,1
