Subject,CondCode,Channel,Time,Amplitude
1,-1,Fp1,-200,1.01014219388486
1,-1,Fp1,-196,-1.66886980569517
1,-1,Fp1,-192,1.95325430715295
1,-1,Fp1,-188,-3.02560784083403
1,-1,Fp1,-184,2.23659063821297
1,-1,Fp1,-180,0.606817253062822
1,-1,Fp1,-176,-3.17467262002381
1,-1,Fp1,-172,-1.23382883072982
1,-1,Fp1,-168,-2.6099467056892
1,-1,Fp1,-164,-4.03783597504158
1,-1,Fp1,-160,2.00549604314061
1,-1,Fp1,-156,-1.19262546490737
1,-1,Fp1,-152,0.949164585899065
1,-1,Fp1,-148,-1.60753100585537
1,-1,Fp1,-144,-1.06930941746443
1,-1,Fp1,-140,0.450431105508045
1,-1,Fp1,-136,-3.11955537077564
1,-1,Fp1,-132,0.917096167397415
1,-1,Fp1,-128,-0.98532154601176
1,-1,Fp1,-124,0.781820832103083
1,-1,Fp1,-120,2.94208126383343
1,-1,Fp1,-116,-0.881737886084471
1,-1,Fp1,-112,2.01687666678629
1,-1,Fp1,-108,-0.153437353919097
1,-1,Fp1,-104,1.48102588032701
1,-1,Fp1,-100,-0.968229208982381
1,-1,Fp1,-96,0.961492466898285
1,-1,Fp1,-92,1.83726664402882
1,-1,Fp1,-88,1.68106321992921
1,-1,Fp1,-84,1.14743695730046
1,-1,Fp1,-80,0.535485669831747
1,-1,Fp1,-76,-1.6482510874618
1,-1,Fp1,-72,2.1477437636567
1,-1,Fp1,-68,-1.9123134509132
1,-1,Fp1,-64,-2.02005281005327
1,-1,Fp1,-60,0.474012492856487
1,-1,Fp1,-56,-1.61580218344439
1,-1,Fp1,-52,0.911270603904766
1,-1,Fp1,-48,-2.29553979320538
1,-1,Fp1,-44,1.5193412443726
1,-1,Fp1,-40,-0.761510458947224
1,-1,Fp1,-36,-0.0771439398976521
1,-1,Fp1,-32,1.52649775283038
1,-1,Fp1,-28,-1.58205977564722
1,-1,Fp1,-24,0.40758238315959
1,-1,Fp1,-20,-1.22946661868862
1,-1,Fp1,-16,1.03181091883359
1,-1,Fp1,-12,0.903938619094741
1,-1,Fp1,-8,2.22534948014696
1,-1,Fp1,-4,0.84176505779439
1,-1,Fp1,0,3.19327427191747
1,-1,Fp1,4,1.51302911357886
1,-1,Fp1,8,1.55616633785144
1,-1,Fp1,12,1.44367210642553
1,-1,Fp1,16,-2.04474384354649
1,-1,Fp1,20,2.19892508493173
1,-1,Fp1,24,-2.01125413744291
1,-1,Fp1,28,0.243764646393926
1,-1,Fp1,32,0.817145049656763
1,-1,Fp1,36,2.24946514399327
1,-1,Fp1,40,-1.3281589245053
1,-1,Fp1,44,-2.24859494425098
1,-1,Fp1,48,0.785552775544452
1,-1,Fp1,52,2.95920130451338
1,-1,Fp1,56,-1.35038308451975
1,-1,Fp1,60,-0.622930497790143
1,-1,Fp1,64,-0.0328836836702063
1,-1,Fp1,68,1.32202221078248
1,-1,Fp1,72,-0.096265764353348
1,-1,Fp1,76,-0.46345502879383
1,-1,Fp1,80,0.785382236217225
1,-1,Fp1,84,-1.31138851989897
1,-1,Fp1,88,0.744589862053172
1,-1,Fp1,92,-0.334380077883056
1,-1,Fp1,96,-0.518636161567104
1,-1,Fp1,100,3.47358041178361
1,-1,Fp1,104,-1.65698126577167
1,-1,Fp1,108,-0.0176759219936038
1,-1,Fp1,112,-0.615954001040742
1,-1,Fp1,116,0.782202874625864
1,-1,Fp1,120,2.17832034671016
1,-1,Fp1,124,1.85857392144513
1,-1,Fp1,128,-3.58783097434643
1,-1,Fp1,132,-0.0831857296372616
1,-1,Fp1,136,2.10383447448429
1,-1,Fp1,140,-0.0281625562510297
1,-1,Fp1,144,0.338267472932423
1,-1,Fp1,148,-0.266703027641046
1,-1,Fp1,152,-0.576063028976692
1,-1,Fp1,156,0.677853158632557
1,-1,Fp1,160,1.95202091507804
1,-1,Fp1,164,0.532212606992486
1,-1,Fp1,168,0.175647846360234
1,-1,Fp1,172,-0.258897325163242
1,-1,Fp1,176,-0.00895700827820356
1,-1,Fp1,180,-1.624808755148
1,-1,Fp1,184,-1.05330254539295
1,-1,Fp1,188,-4.85506651920335
1,-1,Fp1,192,-0.439119858701294
1,-1,Fp1,196,-0.729258400662945
1,-1,Fp1,200,0.107448046250756
1,-1,Fp1,204,-1.36925752740324
1,-1,Fp1,208,-1.64361819098249
1,-1,Fp1,212,-2.99873875686836
1,-1,Fp1,216,3.5063142886732
1,-1,Fp1,220,1.74025363208884
1,-1,Fp1,224,0.310498947513882
1,-1,Fp1,228,-0.108307673808662
1,-1,Fp1,232,-2.02445240759237
1,-1,Fp1,236,-1.71439598438844
1,-1,Fp1,240,0.992550476928535
1,-1,Fp1,244,1.16089825311913
1,-1,Fp1,248,-1.05034039495669
1,-1,Fp1,252,-1.09886342546517
1,-1,Fp1,256,1.48669515974424
1,-1,Fp1,260,1.4966115329442
1,-1,Fp1,264,-0.248498478920028
1,-1,Fp1,268,1.69868571778033
1,-1,Fp1,272,-0.414818995932516
1,-1,Fp1,276,0.374361243498592
1,-1,Fp1,280,-0.657448270031444
1,-1,Fp1,284,-2.36342262961573
1,-1,Fp1,288,-0.300820654329291
1,-1,Fp1,292,-0.635247383145708
1,-1,Fp1,296,0.575861555469268
1,-1,Fp1,300,-1.50927994120779
1,-1,Fp1,304,-0.696027184170862
1,-1,Fp1,308,0.33799019973172
1,-1,Fp1,312,0.107074556019839
1,-1,Fp1,316,-2.63817647006184
1,-1,Fp1,320,1.41745878141275
1,-1,Fp1,324,0.757656145363081
1,-1,Fp1,328,-2.83736848918485
1,-1,Fp1,332,-1.62273361336413
1,-1,Fp1,336,-0.268921134002541
1,-1,Fp1,340,-1.10819924601004
1,-1,Fp1,344,0.0534477346381459
1,-1,Fp1,348,0.0932518865574801
1,-1,Fp1,352,-1.63760502887765
1,-1,Fp1,356,1.05045460683349
